Temps (ms), Température (°C), Humidité (%), Pression (hPa), TVOC (ppb), eCO2 (ppm), Latitude, Longitude
519686,4.03,64.12,994.28,0,400,48.841707,2.613246
520774,4.04,64.54,994.28,0,400,48.841678,2.613229
521860,4.01,64.5,994.28,0,400,48.841652,2.61321
522946,4.01,64.47,994.3,0,400,48.84163,2.613184
524032,3.99,64.44,994.38,0,400,48.841611,2.613123
525118,3.99,64.47,994.38,0,400,48.841604,2.613082
526204,3.98,64.41,994.33,0,400,48.841599,2.613043
527303,3.97,64.47,994.38,0,400,48.841587,2.613009
528389,3.97,64.47,994.3,0,400,48.841572,2.612983
529477,3.96,64.43,994.33,0,400,48.841565,2.612945
530563,3.97,64.44,994.35,0,400,48.841563,2.612898
531649,3.98,64.46,994.4,0,400,48.841563,2.612856
532735,3.96,64.44,994.38,0,400,48.841558,2.612805
533821,3.95,64.39,994.35,6,400,48.841538,2.612744
534907,3.95,64.35,994.45,1,400,48.841525,2.612683
535993,3.94,64.57,994.4,4,400,48.841515,2.612593
537079,3.94,64.55,994.43,6,400,48.841506,2.612551
538165,3.96,64.6,994.45,0,400,48.841496,2.612514
539254,3.96,64.77,994.4,5,400,48.841482,2.612479
540340,3.95,64.73,994.5,2,400,48.841463,2.612444
541426,3.96,64.67,994.48,0,400,48.841446,2.612414
542512,3.94,64.65,994.5,1,400,48.841436,2.612387
543598,3.95,64.59,994.45,0,400,48.84142,2.612353
544684,3.96,64.59,994.48,5,400,48.841419,2.612324
545770,3.95,64.59,994.48,0,400,48.841417,2.612283
546856,3.96,64.6,994.5,4,400,48.841407,2.612241
547942,3.96,64.63,994.5,2,400,48.841395,2.612196
549030,3.95,64.78,994.55,0,400,48.841378,2.612108
550116,3.94,65.01,994.53,4,400,48.841363,2.612061
551202,3.95,64.91,994.53,3,400,48.841357,2.612022
552288,3.95,64.71,994.5,9,400,48.841344,2.611984
553374,3.95,64.55,994.48,8,400,48.841329,2.611948
554460,3.96,64.77,994.45,6,400,48.841314,2.611929
555546,3.96,64.87,994.45,5,400,48.841296,2.611913
